Year,Forecast,Lower_95,Upper_95
2025,0.9753858835311771,0.8230292727427826,1.1277424943195715
2026,0.9753858835311771,0.8230292727427826,1.1277424943195715
2027,0.9753858835311771,0.8230292727427826,1.1277424943195715
2028,0.9753858835311771,0.8230292727427826,1.1277424943195715
2029,0.9753858835311771,0.8230292727427826,1.1277424943195715
2030,0.9753858835311771,0.8230292727427826,1.1277424943195715
2031,0.9753858835311771,0.8230292727427826,1.1277424943195715
2032,0.9753858835311771,0.8230292727427826,1.1277424943195715
2033,0.9753858835311771,0.8230292727427826,1.1277424943195715
2034,0.9753858835311771,0.8230292727427826,1.1277424943195715
